Player 1,Player 2,Player_1_Win,,Player 1,Player 2,Player_1_Win
Marcos Baghdatis,Ryan Harrison,,,Marcos Baghdatis,Ryan Harrison,1
Dominic Thiem,Pablo Carreno Busta,,,Pablo Carreno Busta,Dominic Thiem,0
Juan Martin Del Potro,David Ferrer,,,Juan Martin Del Potro,David Ferrer,1
Illya Marchenko,Nick Kyrgios,,,Nick Kyrgios,Illya Marchenko,0
Stanislas Wawrinka,Daniel Evans,,,Stanislas Wawrinka,Daniel Evans,1
Kei Nishikori,Nicolas Mahut,,,Nicolas Mahut,Kei Nishikori,0
Ivo Karlovic,Jared Donaldson,,,Ivo Karlovic,Jared Donaldson,1
Grigor Dimitrov,Joao Sousa,,,Joao Sousa,Grigor Dimitrov,0
Andy Murray,Paolo Lorenzi,,,Andy Murray,Paolo Lorenzi,1
Novak Djokovic,Kyle Edmund,,,Kyle Edmund,Novak Djokovic,0
Jo Wilfried Tsonga,Jack Sock,,,Jo Wilfried Tsonga,Jack Sock,1
Lucas Pouille,Rafael Nadal,,,Rafael Nadal,Lucas Pouille,0
Gael Monfils,Marcos Baghdatis,,,Gael Monfils,Marcos Baghdatis,1
Juan Martin Del Potro,Dominic Thiem,,,Dominic Thiem,Juan Martin Del Potro,0
Stanislas Wawrinka,Illya Marchenko,,,Stanislas Wawrinka,Illya Marchenko,1
Kei Nishikori,Ivo Karlovic,,,Ivo Karlovic,Kei Nishikori,0
Andy Murray,Grigor Dimitrov,,,Andy Murray,Grigor Dimitrov,1
Novak Djokovic,Jo Wilfried Tsonga,,,Jo Wilfried Tsonga,Novak Djokovic,0
Gael Monfils,Lucas Pouille,,,Gael Monfils,Lucas Pouille,1
Stanislas Wawrinka,Juan Martin Del Potro,,,Juan Martin Del Potro,Stanislas Wawrinka,0
Kei Nishikori,Andy Murray,,,Kei Nishikori,Andy Murray,1
Novak Djokovic,Gael Monfils,,,Gael Monfils,Novak Djokovic,0
Stanislas Wawrinka,Kei Nishikori,,,Stanislas Wawrinka,Kei Nishikori,1
Stanislas Wawrinka,Novak Djokovic,,,Novak Djokovic,Stanislas Wawrinka,0
Lucas Pouille,Dominic Thiem,,,Lucas Pouille,Dominic Thiem,1
Dominic Thiem,Gilles Simon,,,Gilles Simon,Dominic Thiem,0
Lucas Pouille,David Goffin,,,Lucas Pouille,David Goffin,1
Dominic Thiem,Gilles Muller,,,Gilles Muller,Dominic Thiem,0
Gilles Simon,Malek Jaziri,,,Gilles Simon,Malek Jaziri,1
Lucas Pouille,Julien Benneteau,,,Julien Benneteau,Lucas Pouille,0
David Goffin,Nicolas Mahut,,,David Goffin,Nicolas Mahut,1
Dominic Thiem,Peter Gojowczyk,,,Peter Gojowczyk,Dominic Thiem,0
Gilles Muller,Nikoloz Basilashvili,,,Gilles Muller,Nikoloz Basilashvili,1
Gilles Simon,Guillermo Garcia Lopez,,,Guillermo Garcia Lopez,Gilles Simon,0
Malek Jaziri,Vincent Millot,,,Malek Jaziri,Vincent Millot,1
Julien Benneteau,Dustin Brown,,,Dustin Brown,Julien Benneteau,0
Lucas Pouille,Pierre Hugues Herbert,,,Lucas Pouille,Pierre Hugues Herbert,1
Nicolas Mahut,Illya Marchenko,,,Illya Marchenko,Nicolas Mahut,0
David Goffin,Jan Lennard Struff,,,David Goffin,Jan Lennard Struff,1
Peter Gojowczyk,Nicolas Almagro,,,Nicolas Almagro,Peter Gojowczyk,0
Nikoloz Basilashvili,Gregoire Barrere,,,Nikoloz Basilashvili,Gregoire Barrere,1
Gilles Muller,Horacio Zeballos,,,Horacio Zeballos,Gilles Muller,0
Guillermo Garcia Lopez,Damir Dzumhur,,,Guillermo Garcia Lopez,Damir Dzumhur,1
Malek Jaziri,Ivan Dodig,,,Ivan Dodig,Malek Jaziri,0
Vincent Millot,Benoit Paire,,,Vincent Millot,Benoit Paire,1
Julien Benneteau,Martin Klizan,,,Martin Klizan,Julien Benneteau,0
Dustin Brown,Paul Henri Mathieu,,,Dustin Brown,Paul Henri Mathieu,1
Pierre Hugues Herbert,Inigo Cervantes Huegun,,,Inigo Cervantes Huegun,Pierre Hugues Herbert,0
Nicolas Mahut,Quentin Halys,,,Nicolas Mahut,Quentin Halys,1
Illya Marchenko,Andreas Seppi,,,Andreas Seppi,Illya Marchenko,0
Jan Lennard Struff,Tommy Robredo,,,Jan Lennard Struff,Tommy Robredo,1
Karen Khachanov,Albert Ramos,,,Albert Ramos,Karen Khachanov,0
Albert Ramos,Grigor Dimitrov,,,Albert Ramos,Grigor Dimitrov,1
Karen Khachanov,Viktor Troicki,,,Viktor Troicki,Karen Khachanov,0
Albert Ramos,Dominic Thiem,,,Albert Ramos,Dominic Thiem,1
Grigor Dimitrov,Diego Sebastian Schwartzman,,,Diego Sebastian Schwartzman,Grigor Dimitrov,0
Karen Khachanov,Feliciano Lopez,,,Karen Khachanov,Feliciano Lopez,1
Viktor Troicki,Kevin Anderson,,,Kevin Anderson,Viktor Troicki,0
Dominic Thiem,Di Wu,,,Dominic Thiem,Di Wu,1
Albert Ramos,Yen Hsun Lu,,,Yen Hsun Lu,Albert Ramos,0
Grigor Dimitrov,Dusan Lajovic,,,Grigor Dimitrov,Dusan Lajovic,1
Diego Sebastian Schwartzman,Paolo Lorenzi,,,Paolo Lorenzi,Diego Sebastian Schwartzman,0
Karen Khachanov,Adrian Mannarino,,,Karen Khachanov,Adrian Mannarino,1
Feliciano Lopez,Juan Monaco,,,Juan Monaco,Feliciano Lopez,0
Viktor Troicki,Marcos Baghdatis,,,Viktor Troicki,Marcos Baghdatis,1
Kevin Anderson,Nick Kyrgios,,,Nick Kyrgios,Kevin Anderson,0
Di Wu,Konstantin Kravchuk,,,Di Wu,Konstantin Kravchuk,1
Yen Hsun Lu,Radek Stepanek,,,Radek Stepanek,Yen Hsun Lu,0
Albert Ramos,Michael Berrer,,,Albert Ramos,Michael Berrer,1
Dusan Lajovic,Federico Delbonis,,,Federico Delbonis,Dusan Lajovic,0
Diego Sebastian Schwartzman,Rajeev Ram,,,Diego Sebastian Schwartzman,Rajeev Ram,1
Paolo Lorenzi,John Millman,,,John Millman,Paolo Lorenzi,0
Karen Khachanov,Joao Sousa,,,Karen Khachanov,Joao Sousa,1
Adrian Mannarino,Denis Kudla,,,Denis Kudla,Adrian Mannarino,0
Juan Monaco,Hiroki Moriya,,,Juan Monaco,Hiroki Moriya,1
Viktor Troicki,Casper Ruud,,,Casper Ruud,Viktor Troicki,0
Marcos Baghdatis,Pablo Carreno Busta,,,Marcos Baghdatis,Pablo Carreno Busta,1
Kevin Anderson,Jordan Thompson,,,Jordan Thompson,Kevin Anderson,0
Tomas Berdych,Richard Gasquet,,,Tomas Berdych,Richard Gasquet,1
Tomas Berdych,Thomaz Bellucci,,,Thomaz Bellucci,Tomas Berdych,0
Richard Gasquet,Janko Tipsarevic,,,Richard Gasquet,Janko Tipsarevic,1
Tomas Berdych,Jiri Vesely,,,Jiri Vesely,Tomas Berdych,0
Thomaz Bellucci,Bernard Tomic,,,Thomaz Bellucci,Bernard Tomic,1
Richard Gasquet,Mischa Zverev,,,Mischa Zverev,Richard Gasquet,0
Janko Tipsarevic,Malek Jaziri,,,Janko Tipsarevic,Malek Jaziri,1
Tomas Berdych,Mikhail Kukushkin,,,Mikhail Kukushkin,Tomas Berdych,0
Jiri Vesely,Inigo Cervantes Huegun,,,Jiri Vesely,Inigo Cervantes Huegun,1
Bernard Tomic,Ryan Harrison,,,Ryan Harrison,Bernard Tomic,0
Thomaz Bellucci,Thomas Fabbiano,,,Thomaz Bellucci,Thomas Fabbiano,1
Mischa Zverev,Fabio Fognini,,,Fabio Fognini,Mischa Zverev,0
Richard Gasquet,Andrew Whittington,,,Richard Gasquet,Andrew Whittington,1
Janko Tipsarevic,Benoit Paire,,,Benoit Paire,Janko Tipsarevic,0
Malek Jaziri,David Goffin,,,Malek Jaziri,David Goffin,1
Mikhail Kukushkin,Lukas Rosol,,,Lukas Rosol,Mikhail Kukushkin,0
Inigo Cervantes Huegun,Akira Santillan,,,Inigo Cervantes Huegun,Akira Santillan,1
Jiri Vesely,Pablo Andujar,,,Pablo Andujar,Jiri Vesely,0
Ryan Harrison,Guillermo Garcia Lopez,,,Ryan Harrison,Guillermo Garcia Lopez,1
Thomaz Bellucci,Gastao Elias,,,Gastao Elias,Thomaz Bellucci,0
Thomas Fabbiano,Yoshihito Nishioka,,,Thomas Fabbiano,Yoshihito Nishioka,1
Fabio Fognini,Dudi Sela,,,Dudi Sela,Fabio Fognini,0
Mischa Zverev,Zhe Li,,,Mischa Zverev,Zhe Li,1
Andrew Whittington,Luca Vanni,,,Luca Vanni,Andrew Whittington,0
Benoit Paire,Nikoloz Basilashvili,,,Benoit Paire,Nikoloz Basilashvili,1
Janko Tipsarevic,Ze Zhang,,,Ze Zhang,Janko Tipsarevic,0
Malek Jaziri,Stephane Robert,,,Malek Jaziri,Stephane Robert,1
Alexander Zverev,Stanislas Wawrinka,,,Stanislas Wawrinka,Alexander Zverev,0
Stanislas Wawrinka,Roberto Bautista Agut,,,Stanislas Wawrinka,Roberto Bautista Agut,1
Alexander Zverev,Tomas Berdych,,,Tomas Berdych,Alexander Zverev,0
Stanislas Wawrinka,Viktor Troicki,,,Stanislas Wawrinka,Viktor Troicki,1
Roberto Bautista Agut,Joao Sousa,,,Joao Sousa,Roberto Bautista Agut,0
Tomas Berdych,Paolo Lorenzi,,,Tomas Berdych,Paolo Lorenzi,1
Alexander Zverev,Mikhail Youzhny,,,Mikhail Youzhny,Alexander Zverev,0
Stanislas Wawrinka,Lukas Rosol,,,Stanislas Wawrinka,Lukas Rosol,1
Viktor Troicki,Dusan Lajovic,,,Dusan Lajovic,Viktor Troicki,0
Roberto Bautista Agut,Ricardas Berankis,,,Roberto Bautista Agut,Ricardas Berankis,1
Joao Sousa,Andrey Rublev,,,Andrey Rublev,Joao Sousa,0
Paolo Lorenzi,Alexandre Sidorenko,,,Paolo Lorenzi,Alexandre Sidorenko,1
Tomas Berdych,Andrey Kuznetsov,,,Andrey Kuznetsov,Tomas Berdych,0
Alexander Zverev,Daniil Medvedev,,,Alexander Zverev,Daniil Medvedev,1
Mikhail Youzhny,Milos Raonic,,,Milos Raonic,Mikhail Youzhny,0
Lukas Rosol,Diego Sebastian Schwartzman,,,Lukas Rosol,Diego Sebastian Schwartzman,1
Dusan Lajovic,Fernando Verdasco,,,Fernando Verdasco,Dusan Lajovic,0
Viktor Troicki,Gastao Elias,,,Viktor Troicki,Gastao Elias,1
Ricardas Berankis,Adrian Mannarino,,,Adrian Mannarino,Ricardas Berankis,0
Andrey Rublev,Mikhail Kukushkin,,,Andrey Rublev,Mikhail Kukushkin,1
Joao Sousa,Radu Albot,,,Radu Albot,Joao Sousa,0
Alexandre Sidorenko,Albert Ramos,,,Alexandre Sidorenko,Albert Ramos,1
Paolo Lorenzi,Mischa Zverev,,,Mischa Zverev,Paolo Lorenzi,0
Andrey Kuznetsov,Evgeny Donskoy,,,Andrey Kuznetsov,Evgeny Donskoy,1
Alexander Zverev,Karen Khachanov,,,Karen Khachanov,Alexander Zverev,0
Daniil Medvedev,Alexander Bublik,,,Daniil Medvedev,Alexander Bublik,1
Mikhail Youzhny,Janko Tipsarevic,,,Janko Tipsarevic,Mikhail Youzhny,0
Andy Murray,Grigor Dimitrov,,,Andy Murray,Grigor Dimitrov,1
Andy Murray,David Ferrer,,,David Ferrer,Andy Murray,0
Grigor Dimitrov,Milos Raonic,,,Grigor Dimitrov,Milos Raonic,1
Andy Murray,Kyle Edmund,,,Kyle Edmund,Andy Murray,0
David Ferrer,Alexander Zverev,,,David Ferrer,Alexander Zverev,1
Milos Raonic,Pablo Carreno Busta,,,Pablo Carreno Busta,Milos Raonic,0
Grigor Dimitrov,Rafael Nadal,,,Grigor Dimitrov,Rafael Nadal,1
Andy Murray,Andrey Kuznetsov,,,Andrey Kuznetsov,Andy Murray,0
Kyle Edmund,Roberto Bautista Agut,,,Kyle Edmund,Roberto Bautista Agut,1
Alexander Zverev,Jack Sock,,,Jack Sock,Alexander Zverev,0
David Ferrer,Fabio Fognini,,,David Ferrer,Fabio Fognini,1
Pablo Carreno Busta,Richard Gasquet,,,Richard Gasquet,Pablo Carreno Busta,0
Milos Raonic,Malek Jaziri,,,Milos Raonic,Malek Jaziri,1
Grigor Dimitrov,Lucas Pouille,,,Lucas Pouille,Grigor Dimitrov,0
Rafael Nadal,Adrian Mannarino,,,Rafael Nadal,Adrian Mannarino,1
Andy Murray,Andreas Seppi,,,Andreas Seppi,Andy Murray,0
Andrey Kuznetsov,Konstantin Kravchuk,,,Andrey Kuznetsov,Konstantin Kravchuk,1
Kyle Edmund,Guillermo Garcia Lopez,,,Guillermo Garcia Lopez,Kyle Edmund,0
Roberto Bautista Agut,John Millman,,,Roberto Bautista Agut,John Millman,1
Alexander Zverev,Dominic Thiem,,,Dominic Thiem,Alexander Zverev,0
Jack Sock,Ze Zhang,,,Jack Sock,Ze Zhang,1
Fabio Fognini,Viktor Troicki,,,Viktor Troicki,Fabio Fognini,0
David Ferrer,Pablo Cuevas,,,David Ferrer,Pablo Cuevas,1
Richard Gasquet,Sam Querrey,,,Sam Querrey,Richard Gasquet,0
Pablo Carreno Busta,Bernard Tomic,,,Pablo Carreno Busta,Bernard Tomic,1
Malek Jaziri,Guido Pella,,,Guido Pella,Malek Jaziri,0
Milos Raonic,Florian Mayer,,,Milos Raonic,Florian Mayer,1
Lucas Pouille,Yen Hsun Lu,,,Yen Hsun Lu,Lucas Pouille,0
Grigor Dimitrov,Steve Johnson,,,Grigor Dimitrov,Steve Johnson,1
Adrian Mannarino,Albert Ramos,,,Albert Ramos,Adrian Mannarino,0
Rafael Nadal,Paolo Lorenzi,,,Rafael Nadal,Paolo Lorenzi,1
Nick Kyrgios,David Goffin,,,David Goffin,Nick Kyrgios,0
David Goffin,Marin Cilic,,,David Goffin,Marin Cilic,1
Nick Kyrgios,Gael Monfils,,,Gael Monfils,Nick Kyrgios,0
David Goffin,Joao Sousa,,,David Goffin,Joao Sousa,1
Marin Cilic,Juan Monaco,,,Juan Monaco,Marin Cilic,0
Nick Kyrgios,Gilles Muller,,,Nick Kyrgios,Gilles Muller,1
Gael Monfils,Ivo Karlovic,,,Ivo Karlovic,Gael Monfils,0
Joao Sousa,Kei Nishikori,,,Joao Sousa,Kei Nishikori,1
David Goffin,Jiri Vesely,,,Jiri Vesely,David Goffin,0
Marin Cilic,Fernando Verdasco,,,Marin Cilic,Fernando Verdasco,1
Juan Monaco,James Duckworth,,,James Duckworth,Juan Monaco,0
Nick Kyrgios,Radek Stepanek,,,Nick Kyrgios,Radek Stepanek,1
Gilles Muller,Marcos Baghdatis,,,Marcos Baghdatis,Gilles Muller,0
Ivo Karlovic,Janko Tipsarevic,,,Ivo Karlovic,Janko Tipsarevic,1
Gael Monfils,Gilles Simon,,,Gilles Simon,Gael Monfils,0
Kei Nishikori,Donald Young,,,Kei Nishikori,Donald Young,1
Joao Sousa,Martin Klizan,,,Martin Klizan,Joao Sousa,0
Jiri Vesely,Kevin Anderson,,,Jiri Vesely,Kevin Anderson,1
David Goffin,Yoshihito Nishioka,,,Yoshihito Nishioka,David Goffin,0
Marin Cilic,Benoit Paire,,,Marin Cilic,Benoit Paire,1
Fernando Verdasco,Go Soeda,,,Go Soeda,Fernando Verdasco,0
Juan Monaco,Taylor Harry Fritz,,,Juan Monaco,Taylor Harry Fritz,1
James Duckworth,Feliciano Lopez,,,Feliciano Lopez,James Duckworth,0
Nick Kyrgios,Ryan Harrison,,,Nick Kyrgios,Ryan Harrison,1
Radek Stepanek,Stephane Robert,,,Stephane Robert,Radek Stepanek,0
Marcos Baghdatis,Marcel Granollers,,,Marcos Baghdatis,Marcel Granollers,1
Gilles Muller,Tomas Berdych,,,Tomas Berdych,Gilles Muller,0
Ivo Karlovic,Federico Delbonis,,,Ivo Karlovic,Federico Delbonis,1
Janko Tipsarevic,Taro Daniel,,,Taro Daniel,Janko Tipsarevic,0
Gilles Simon,Philipp Kohlschreiber,,,Gilles Simon,Philipp Kohlschreiber,1
Gael Monfils,Yuichi Sugita,,,Yuichi Sugita,Gael Monfils,0
Andy Murray,Roberto Bautista Agut,,,Andy Murray,Roberto Bautista Agut,1
Roberto Bautista Agut,Novak Djokovic,,,Novak Djokovic,Roberto Bautista Agut,0
Andy Murray,Gilles Simon,,,Andy Murray,Gilles Simon,1
Novak Djokovic,Mischa Zverev,,,Mischa Zverev,Novak Djokovic,0
Roberto Bautista Agut,Jo Wilfried Tsonga,,,Roberto Bautista Agut,Jo Wilfried Tsonga,1
Gilles Simon,Jack Sock,,,Jack Sock,Gilles Simon,0
Andy Murray,David Goffin,,,Andy Murray,David Goffin,1
Novak Djokovic,Vasek Pospisil,,,Vasek Pospisil,Novak Djokovic,0
Mischa Zverev,Marcel Granollers,,,Mischa Zverev,Marcel Granollers,1
Roberto Bautista Agut,Viktor Troicki,,,Viktor Troicki,Roberto Bautista Agut,0
Jo Wilfried Tsonga,Alexander Zverev,,,Jo Wilfried Tsonga,Alexander Zverev,1
Jack Sock,Milos Raonic,,,Milos Raonic,Jack Sock,0
Gilles Simon,Stanislas Wawrinka,,,Gilles Simon,Stanislas Wawrinka,1
David Goffin,Gael Monfils,,,Gael Monfils,David Goffin,0
Andy Murray,Lucas Pouille,,,Andy Murray,Lucas Pouille,1
Novak Djokovic,Fabio Fognini,,,Fabio Fognini,Novak Djokovic,0
Vasek Pospisil,Grigor Dimitrov,,,Vasek Pospisil,Grigor Dimitrov,1
Mischa Zverev,Nick Kyrgios,,,Nick Kyrgios,Mischa Zverev,0
Marcel Granollers,Tomas Berdych,,,Marcel Granollers,Tomas Berdych,1
Viktor Troicki,Rafael Nadal,,,Rafael Nadal,Viktor Troicki,0
Roberto Bautista Agut,Taylor Harry Fritz,,,Roberto Bautista Agut,Taylor Harry Fritz,1
Jo Wilfried Tsonga,Janko Tipsarevic,,,Janko Tipsarevic,Jo Wilfried Tsonga,0
Alexander Zverev,Marin Cilic,,,Alexander Zverev,Marin Cilic,1
Milos Raonic,Paolo Lorenzi,,,Paolo Lorenzi,Milos Raonic,0
Jack Sock,Feliciano Lopez,,,Jack Sock,Feliciano Lopez,1
Gilles Simon,Di Wu,,,Di Wu,Gilles Simon,0
Stanislas Wawrinka,Kyle Edmund,,,Stanislas Wawrinka,Kyle Edmund,1
Gael Monfils,Kevin Anderson,,,Kevin Anderson,Gael Monfils,0
David Goffin,Benoit Paire,,,David Goffin,Benoit Paire,1
Lucas Pouille,Nicolas Almagro,,,Nicolas Almagro,Lucas Pouille,0
Andy Murray,Steve Johnson,,,Andy Murray,Steve Johnson,1
Fabio Fognini,Albert Ramos,,,Albert Ramos,Fabio Fognini,0
Vasek Pospisil,Ivo Karlovic,,,Vasek Pospisil,Ivo Karlovic,1
Grigor Dimitrov,Richard Gasquet,,,Richard Gasquet,Grigor Dimitrov,0
Nick Kyrgios,Sam Querrey,,,Nick Kyrgios,Sam Querrey,1
Mischa Zverev,Ze Zhang,,,Ze Zhang,Mischa Zverev,0
Marcel Granollers,Yuichi Sugita,,,Marcel Granollers,Yuichi Sugita,1
Viktor Troicki,Lukas Rosol,,,Lukas Rosol,Viktor Troicki,0
Taylor Harry Fritz,Stephane Robert,,,Taylor Harry Fritz,Stephane Robert,1
Roberto Bautista Agut,Bernard Tomic,,,Bernard Tomic,Roberto Bautista Agut,0
Jo Wilfried Tsonga,Florian Mayer,,,Jo Wilfried Tsonga,Florian Mayer,1
Janko Tipsarevic,Philipp Kohlschreiber,,,Philipp Kohlschreiber,Janko Tipsarevic,0
Alexander Zverev,John Isner,,,Alexander Zverev,John Isner,1
Paolo Lorenzi,Guillermo Garcia Lopez,,,Guillermo Garcia Lopez,Paolo Lorenzi,0
Jack Sock,Guido Pella,,,Jack Sock,Guido Pella,1
Feliciano Lopez,David Ferrer,,,David Ferrer,Feliciano Lopez,0
Di Wu,Pablo Cuevas,,,Di Wu,Pablo Cuevas,1
Gilles Simon,Pablo Carreno Busta,,,Pablo Carreno Busta,Gilles Simon,0
Kyle Edmund,Federico Delbonis,,,Kyle Edmund,Federico Delbonis,1
Kevin Anderson,Zhe Li,,,Zhe Li,Kevin Anderson,0
Benoit Paire,Joao Sousa,,,Benoit Paire,Joao Sousa,1
David Goffin,Juan Martin Del Potro,,,Juan Martin Del Potro,David Goffin,0
Lucas Pouille,Fernando Verdasco,,,Lucas Pouille,Fernando Verdasco,1
Nicolas Almagro,Mikhail Youzhny,,,Mikhail Youzhny,Nicolas Almagro,0
Steve Johnson,Martin Klizan,,,Steve Johnson,Martin Klizan,1
Richard Gasquet,Diego Sebastian Schwartzman,,,Diego Sebastian Schwartzman,Richard Gasquet,0
Diego Sebastian Schwartzman,David Goffin,,,Diego Sebastian Schwartzman,David Goffin,1
Richard Gasquet,Kyle Edmund,,,Kyle Edmund,Richard Gasquet,0
David Goffin,Marius Copil,,,David Goffin,Marius Copil,1
Diego Sebastian Schwartzman,Pablo Cuevas,,,Pablo Cuevas,Diego Sebastian Schwartzman,0
Richard Gasquet,Jan Lennard Struff,,,Richard Gasquet,Jan Lennard Struff,1
Kyle Edmund,Andreas Seppi,,,Andreas Seppi,Kyle Edmund,0
David Goffin,Florian Mayer,,,David Goffin,Florian Mayer,1
Marius Copil,Steve Darcis,,,Steve Darcis,Marius Copil,0
Pablo Cuevas,Jozef Kovalik,,,Pablo Cuevas,Jozef Kovalik,1
Diego Sebastian Schwartzman,Taylor Harry Fritz,,,Taylor Harry Fritz,Diego Sebastian Schwartzman,0
Jan Lennard Struff,Gilles Simon,,,Jan Lennard Struff,Gilles Simon,1
Richard Gasquet,Inigo Cervantes Huegun,,,Inigo Cervantes Huegun,Richard Gasquet,0
Andreas Seppi,Robin Haase,,,Andreas Seppi,Robin Haase,1
Kyle Edmund,David Ferrer,,,David Ferrer,Kyle Edmund,0
Florian Mayer,Tommy Robredo,,,Florian Mayer,Tommy Robredo,1
Steve Darcis,Benoit Paire,,,Benoit Paire,Steve Darcis,0
Marius Copil,Joao Sousa,,,Marius Copil,Joao Sousa,1
Jozef Kovalik,Guillermo Garcia Lopez,,,Guillermo Garcia Lopez,Jozef Kovalik,0
Taylor Harry Fritz,Joris De Loore,,,Taylor Harry Fritz,Joris De Loore,1
Diego Sebastian Schwartzman,Nicolas Mahut,,,Nicolas Mahut,Diego Sebastian Schwartzman,0
Gilles Simon,Yannick Maden,,,Gilles Simon,Yannick Maden,1
Jan Lennard Struff,Mikhail Youzhny,,,Mikhail Youzhny,Jan Lennard Struff,0
Inigo Cervantes Huegun,Michael Berrer,,,Inigo Cervantes Huegun,Michael Berrer,1
Andreas Seppi,Federico Delbonis,,,Federico Delbonis,Andreas Seppi,0
Robin Haase,Paul Henri Mathieu,,,Robin Haase,Paul Henri Mathieu,1
Kyle Edmund,Illya Marchenko,,,Illya Marchenko,Kyle Edmund,0
Pablo Carreno Busta,Fabio Fognini,,,Pablo Carreno Busta,Fabio Fognini,1
Pablo Carreno Busta,Stephane Robert,,,Stephane Robert,Pablo Carreno Busta,0
Fabio Fognini,Philipp Kohlschreiber,,,Fabio Fognini,Philipp Kohlschreiber,1
Pablo Carreno Busta,Alexander Bublik,,,Alexander Bublik,Pablo Carreno Busta,0
Stephane Robert,Daniil Medvedev,,,Stephane Robert,Daniil Medvedev,1
Philipp Kohlschreiber,Thomaz Bellucci,,,Thomaz Bellucci,Philipp Kohlschreiber,0
Fabio Fognini,Albert Ramos,,,Fabio Fognini,Albert Ramos,1
Alexander Bublik,Roberto Bautista Agut,,,Roberto Bautista Agut,Alexander Bublik,0
Pablo Carreno Busta,Damir Dzumhur,,,Pablo Carreno Busta,Damir Dzumhur,1
Daniil Medvedev,Viktor Troicki,,,Viktor Troicki,Daniil Medvedev,0
Stephane Robert,Lukas Rosol,,,Stephane Robert,Lukas Rosol,1
Thomaz Bellucci,Andrey Kuznetsov,,,Andrey Kuznetsov,Thomaz Bellucci,0
Philipp Kohlschreiber,Dusan Lajovic,,,Philipp Kohlschreiber,Dusan Lajovic,1
Fabio Fognini,Paolo Lorenzi,,,Paolo Lorenzi,Fabio Fognini,0
Albert Ramos,Evgeny Donskoy,,,Albert Ramos,Evgeny Donskoy,1
Alexander Bublik,Konstantin Kravchuk,,,Konstantin Kravchuk,Alexander Bublik,0
Damir Dzumhur,Karen Khachanov,,,Damir Dzumhur,Karen Khachanov,1
Pablo Carreno Busta,Jurgen Melzer,,,Jurgen Melzer,Pablo Carreno Busta,0
Daniil Medvedev,Mikhail Kukushkin,,,Daniil Medvedev,Mikhail Kukushkin,1
Lukas Rosol,Gerald Melzer,,,Gerald Melzer,Lukas Rosol,0
Stephane Robert,Marcel Granollers,,,Stephane Robert,Marcel Granollers,1
Andrey Kuznetsov,Guido Pella,,,Guido Pella,Andrey Kuznetsov,0
Thomaz Bellucci,Cem Ilkel,,,Thomaz Bellucci,Cem Ilkel,1
Dusan Lajovic,Janko Tipsarevic,,,Janko Tipsarevic,Dusan Lajovic,0
Paolo Lorenzi,Federico Gaio,,,Paolo Lorenzi,Federico Gaio,1
Fabio Fognini,Ricardas Berankis,,,Ricardas Berankis,Fabio Fognini,0
Evgeny Donskoy,Aslan Karatsev,,,Evgeny Donskoy,Aslan Karatsev,1
Juan Martin Del Potro,Jack Sock,,,Jack Sock,Juan Martin Del Potro,0
Jack Sock,Alexander Zverev,,,Jack Sock,Alexander Zverev,1
Juan Martin Del Potro,Grigor Dimitrov,,,Grigor Dimitrov,Juan Martin Del Potro,0
Jack Sock,Gastao Elias,,,Jack Sock,Gastao Elias,1
Alexander Zverev,Tobias Kamke,,,Tobias Kamke,Alexander Zverev,0
Juan Martin Del Potro,Ivo Karlovic,,,Juan Martin Del Potro,Ivo Karlovic,1
Grigor Dimitrov,Kevin Anderson,,,Kevin Anderson,Grigor Dimitrov,0
Gastao Elias,Gael Monfils,,,Gastao Elias,Gael Monfils,1
Jack Sock,Dustin Brown,,,Dustin Brown,Jack Sock,0
Alexander Zverev,Adrian Mannarino,,,Alexander Zverev,Adrian Mannarino,1
Tobias Kamke,Radu Albot,,,Radu Albot,Tobias Kamke,0
Juan Martin Del Potro,Nicolas Almagro,,,Juan Martin Del Potro,Nicolas Almagro,1
Ivo Karlovic,Mikael Ymer,,,Mikael Ymer,Ivo Karlovic,0
Kevin Anderson,Ryan Harrison,,,Kevin Anderson,Ryan Harrison,1
Grigor Dimitrov,Jurgen Zopp,,,Jurgen Zopp,Grigor Dimitrov,0
Gastao Elias,Ivan Dodig,,,Gastao Elias,Ivan Dodig,1
Dustin Brown,Gilles Muller,,,Gilles Muller,Dustin Brown,0
Jack Sock,Malek Jaziri,,,Jack Sock,Malek Jaziri,1
Adrian Mannarino,Donald Young,,,Donald Young,Adrian Mannarino,0
Tobias Kamke,Elias Ymer,,,Tobias Kamke,Elias Ymer,1
Radu Albot,Steve Johnson,,,Steve Johnson,Radu Albot,0
Juan Martin Del Potro,John Isner,,,Juan Martin Del Potro,John Isner,1
Nicolas Almagro,Yuichi Sugita,,,Yuichi Sugita,Nicolas Almagro,0
Mikael Ymer,Fernando Verdasco,,,Mikael Ymer,Fernando Verdasco,1
Kevin Anderson,Marcos Baghdatis,,,Marcos Baghdatis,Kevin Anderson,0
Ryan Harrison,Adam Pavlasek,,,Ryan Harrison,Adam Pavlasek,1
Jurgen Zopp,Benjamin Becker,,,Benjamin Becker,Jurgen Zopp,0
Marin Cilic,Kei Nishikori,,,Marin Cilic,Kei Nishikori,1
Marin Cilic,Mischa Zverev,,,Mischa Zverev,Marin Cilic,0
Kei Nishikori,Gilles Muller,,,Kei Nishikori,Gilles Muller,1
Mischa Zverev,Stanislas Wawrinka,,,Stanislas Wawrinka,Mischa Zverev,0
